Idle state, waiting for transmission to start.
Idle state, waiting for transmission to start.
Sleeping 1.400000 seconds, protocol to start transmitting. 
Sleeping 1.400000 seconds, protocol to start transmitting. 
Sleeping 1.400000 seconds, protocol to start transmitting. 
Sleeping 1.400000 seconds, protocol to start transmitting. 
Sleeping 1.400000 seconds, protocol to start transmitting. 
Sleeping 1.400000 seconds, protocol to start transmitting. 
Sleeping 1.400000 seconds, protocol to start transmitting. 
Sleeping 1.400000 seconds, protocol to start transmitting. 
Sleeping 1.400000 seconds, protocol to start transmitting. 
Sleeping 1.400000 seconds, protocol to start transmitting. 
Sleeping 1.400000 seconds, protocol to start transmitting. 
[2018-11-05 23:18:44,797] - [Receiver] - [INFO] - Idle state, waiting for transmission to start.
[2018-11-05 23:18:44,830] - [Receiver] - [INFO] - Timing 1.400000 seconds, in order to start the transmitting protocol.
[2018-11-05 23:18:45,411] - [Receiver] - [INFO] - Receiver has been paused, not getting any audio data.
[2018-11-05 23:20:20,796] - [Receiver] - [INFO] - Idle state, waiting for transmission to start.
[2018-11-05 23:20:20,796] - [Receiver] - [INFO] - Timing 1.400000 seconds, in order to start the transmitting protocol.
[2018-11-05 23:20:20,850] - [Receiver] - [INFO] - Idle state, waiting for transmission to start.
[2018-11-05 23:20:20,856] - [Receiver] - [INFO] - Timing 1.400000 seconds, in order to start the transmitting protocol.
[2018-11-05 23:20:21,466] - [Receiver] - [INFO] - Receiver has been paused, not getting any audio data.
[2018-11-05 23:21:42,644] - [Receiver] - [INFO] - Idle state, waiting for transmission to start.
[2018-11-05 23:21:42,645] - [Receiver] - [INFO] - Timing 1.400000 seconds, in order to start the transmitting protocol.
[2018-11-05 23:21:42,774] - [Receiver] - [INFO] - Idle state, waiting for transmission to start.
[2018-11-05 23:21:42,785] - [Receiver] - [INFO] - Timing 1.400000 seconds, in order to start the transmitting protocol.
[2018-11-05 23:23:42,560] - [Receiver] - [INFO] - Idle state, waiting for transmission to start.
[2018-11-05 23:23:42,561] - [Receiver] - [INFO] - Timing 1.400000 seconds, in order to start the transmitting protocol.
[2018-11-05 23:23:42,642] - [Receiver] - [INFO] - Idle state, waiting for transmission to start.
[2018-11-05 23:23:42,652] - [Receiver] - [INFO] - Timing 1.400000 seconds, in order to start the transmitting protocol.
[2018-11-05 23:23:43,179] - [Receiver] - [INFO] - Receiver has been paused, not getting any audio data.
